Rol;Razón Social;Rubro;Imp. Económica;Región;Situación;Estado
4293;COOPERATIVA DE TRABAJO GRUPO DE ESTUDIOS AGROREGIONALES.;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4294;COOPERATIVA DE TRABAJO WALMAPUCHE, SIGLA C.T.W.;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4295;COOPERATIVA DE TRABAJO CALPULLI LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4300;COOPERATIVA DE TRABAJO EN PRODUCCION Y SERVICIOS AGRICOLAS ORGANICOS HELIFLORA NOVICIADO;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4303;COOPERATIVA DE TRABAJO CENTRO DE SERVICIOS MULTIPLES DE LAS MUJERES DE LA PESCA ARTESANAL DE SAN ANTONIO;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4306;"COOPERATIVA DE TRABAJO MULTIACTIVA DE BAHIA CHASCO PUDIENDO USAR NOMBRE DE FANTASIA ""COOPERATIVA BAHIA CHASCO""";Producción y Trabajo.;NO;03 Atacama  ;Activa;Vigente
4318;"COOPERATIVA DE PROYECTOS INTEGRALES DE TELECOMUNICACIONES Y TELEMETRIA LORD WIRELESS O ""L W COOP""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4320;COOPERATIVA DE TRABAJO TRANSPORTE DE PASAJEROS YUMBEL;Producción y Trabajo.;NO;08 Biobío  ;Activa;En Formacion
4323;COOPERATIVA DE TRABAJO EN SERVICIOS DE DISTRIBUCION Y VENTA PARA LA EMPRESA Y EL HOGAR DE NOMBRE DE FANTASIA PERSA QUINTA NORMAL, COOPERATIVA DE TRABAJO;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4327;COOPERATIVA DE ELABORACION DE PRODUCTOS ARTESANALES DE MIEL MAS KE MIEL COOP;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4329;COOPERATIVA DE TRABAJO GUIAS TURISTICAS DE ALHUE;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4330;"COOPERATIVA DE TRABAJO ""SEMILLERO CASCAJAL"" O ""CASCAJALSEMILLA""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
